"Date","Breadth","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
2020-04-07,0,274.209991455078,275.029998779297,264.890014648438,265.130004882812,201427200,253.265121459961
2020-04-08,0,267.959991455078,276,265.25,274.029998779297,153774500,261.766784667969
2020-04-09,0,277.579986572266,281.200012207031,275.470001220703,278.200012207031,189999200,265.750183105469
2020-04-13,0,277.140014648438,277.510009765625,271.410003662109,275.660003662109,114839100,263.323852539062
2020-04-14,0,280.980010986328,284.899993896484,275.510009765625,283.790008544922,134143400,271.089935302734
2020-04-15,0,277.570007324219,283.940002441406,275.459991455078,277.760009765625,121775000,265.329925537109
2020-04-16,0,279.149993896484,280.029998779297,275.760009765625,279.100006103516,131798300,266.60986328125
2020-04-17,0,285.380004882812,287.299987792969,282.399993896484,286.640014648438,146684800,273.812438964844
2020-04-20,0,282.609985351562,286.790008544922,281.350006103516,281.589996337891,100109300,268.988464355469
2020-04-21,0,276.730010986328,278.040008544922,272.019989013672,273.040008544922,126385700,260.821136474609
2020-04-22,0,278.350006103516,281,276.910003662109,279.100006103516,92951600,266.60986328125
2020-04-23,0,280.489990234375,283.940002441406,278.75,279.079986572266,104709700,266.5908203125
2020-04-24,0,280.730010986328,283.700012207031,278.5,282.970001220703,85063200,270.306793212891
2020-04-27,0,285.119995117188,288.269989013672,284.619995117188,287.049987792969,77896600,274.204132080078
2020-04-28,0,291.019989013672,291.399993896484,285.399993896484,285.730010986328,105270000,272.943237304688
2020-04-29,0,291.529998779297,294.880004882812,290.410003662109,293.209991455078,118745600,280.088500976562
2020-04-30,0,291.709991455078,293.320007324219,288.589996337891,290.480010986328,122901700,277.480682373047
2020-05-01,0,285.309997558594,290.660003662109,281.519989013672,282.790008544922,125180000,270.134796142578
2020-05-04,0,280.739990234375,283.899993896484,279.130004882812,283.570007324219,80873200,270.879852294922
2020-05-05,642.770189252462,286.640014648438,289.25,283.709991455078,286.190002441406,79569900,273.382598876953
2020-05-06,525.909211236894,288.040008544922,288.459991455078,283.779998779297,284.25,73632600,271.529418945312
2020-05-07,628.076905491576,287.75,289.779998779297,287.130004882812,287.679992675781,75250400,274.805847167969
2020-05-08,817.465184157905,291.089996337891,292.950012207031,289.859985351562,292.440002441406,76452400,279.352905273438
2020-05-11,729.159022727089,290.339996337891,294,289.880004882812,292.5,79514200,279.410186767578
2020-05-12,517.524821767036,293.790008544922,294.239990234375,286.519989013672,286.670013427734,95870800,273.841125488281
2020-05-13,346.686633167267,286.059997558594,287.190002441406,278.959991455078,281.600006103516,144721100,268.997985839844
2020-05-14,442.880903179453,278.950012207031,285.109985351562,272.989990234375,284.970001220703,121977900,272.217193603516
2020-05-15,448.2854947669,282.369995117188,286.329986572266,281.339996337891,286.279998779297,111146300,273.468566894531
2020-05-18,836.990724897768,293.049987792969,296.75,292.700012207031,295,119703800,281.79833984375
2020-05-19,700.497376743589,294.350006103516,296.209991455078,291.950012207031,291.970001220703,95189300,278.903991699219
2020-05-20,817.995150218019,295.820007324219,297.869995117188,295.570007324219,296.929992675781,85861700,283.641967773438
2020-05-21,732.607174808724,296.790008544922,297.670013427734,293.690002441406,294.880004882812,78293900,281.683776855469
2020-05-22,761.530709105093,294.570007324219,295.630004882812,293.220001220703,295.440002441406,63958200,282.218597412109
2020-05-26,912.278072198553,301.929992675781,302.190002441406,295.459991455078,299.079986572266,88951400,285.695709228516
2020-05-27,978.043656527719,302.119995117188,303.570007324219,296.869995117188,303.529998779297,104817400,289.946655273438
2020-05-28,1010.93755712069,304.649993896484,306.839996337891,302.239990234375,302.970001220703,90405200,289.411651611328
2020-05-29,1028.6148289418,302.459991455078,304.959991455078,299.470001220703,304.320007324219,119090800,290.701232910156
2020-06-01,1029.6662855861,303.619995117188,306.209991455078,303.059997558594,305.549987792969,55758300,291.876159667969
2020-06-02,1051.56602115468,306.549987792969,308.130004882812,305.100006103516,308.079986572266,74267200,294.29296875
2020-06-03,1033.46612776466,310.239990234375,313.220001220703,309.940002441406,312.179992675781,92567600,298.209533691406
2020-06-04,995.132867787568,311.109985351562,313,309.079986572266,311.359985351562,75794400,297.42626953125
